from,to,namespace,comment
Qhapaq Inca,Qhapaq Inka,0,"""Qhapaq Inca"" is a mixed Quechua-Spanish, incorrect spelling"
"American Embassy, Dublin",Embassy of the United States in Dublin,0,
Rachel Notley/Temp,Rachel Notley,0,Moving over the removed copyvio article
Ansari,Ansari (nesbat),0,
On the Ride (Aly & AJ song),On the Ride,0,un-dab
Sergey Mikhaylovich Makarov,Sergei Mikhaylovich Makarov,0,That's His Name
Musa al-Kazim ibn Muhammad Baqir,Musa al-Kazim,0,revert
Fantastic Four (1994 film),The Fantastic Four (1994 film),0,What it says on the poster
Ahn Ikte,Ahn Eaktae,0,"Very bad to move without also moving page ""history""! Also, bad to move to a new name that is not one of the romanizations used by Ahn during his lifetime, and not discussed first."
The Sunday Times (UK) on Wheels,The Sunday Times (UK),0,revert
Aluminum Selenide,Aluminium Selenide,0,"aluminum is not the internationally agreed name, its Aluminium"
Course in Miracles (book),A Course in Miracles (book),0,Name of the Book has an A in front
Experimental novel,Experimental literature,0,in order to accomodate for poetry such as Mallarmé
List of Polish Americans and Americans of Polish descent,List of Polish-Americans,0,moved back. Not encyclopedic and no consensus
Auditory Integration Training,Auditory integration training,0,per capitalization used in external links
Extraterrestrial life in culture,Extraterrestrial life (popular culture),0,
Colоr,Color,0,revert
Umm Kulthum binte Muhammad,Umm Khultum binte Muhammad,0,
Anthony Quinton,"Anthony Quinton, Baron Quinton",0,Add peerage
Paul Wolfe (autoracer),Paul Wolfe (racer),0,
"Anaheim Hills, California","Anaheim Hills, Cal.",0,
John T Roycroft (kickboxer),John Roycroft (kickboxer),0,
1986 FIFA World Cup (squads),1986 FIFA World Cup squads,0,see [[Talk:2006 FIFA World Cup squads]]
Ravi Belgere,Ravi Belagere,0,Belagere is the right pronounciation
Guugu Yimithirr,Guugu Yimithirr people,0,disambig
Awabakal,Awabakal people,0,
Talan torriero,People on Laguna Beach,0,Talan isn't the only one on LB.
OpenLinkVirtuoso,Virtuoso Universal Server,0,Rename article to correct name of product
Isabelline,Isabelline (colour),0,Isabelline is also an architectural style. Making a disambiguation page.
Jon walker,Jon Walker,0,naming conventions
Darkinjung,Darkinjung people,0,
Rump Steak,Rump steak,0,
Battle of Hochstadt,Battle of Höchstädt,0,
Morbo (as in Mexican Electrosynthguitarmusic),Morbo (Mexican band),0,Nonesense title
ACLU v. Ashcroft (2004),American Civil Liberties Union v. Ashcroft (2004),0,acronym shouldn't be used in this instance
Darug,Darug people,0,
Los Simuladores,Los simuladores,0,Norma 3.3.3.g de la Ortografía de la RAE
Virgin Mary,Virgin Mary (disambiguation),0,disambiguation
PRX,Public Radio Exchange,0,don't title articles with acronyms whenever possible
CEGEP Montmorency,Cégep Montmorency,0,Proper spelling
Shivaji Rao Gaekwad,Rajnikanth,0,Need to use popular name (see [http://poll.imdb.com/name/nm0707425/])
Agni kai,Agni Kai,0,
Nitrite inhalants,Poppers (Nitrite inhalants),0,most commonly called this
Madonna (entertainer),Madonna (singer),0,Singer is a better title for her.
Don Ross,Don Ross (disambiguation),0,This is clearly a hndis page. It should have been done that way from the beginning.
"Chinatown (Fortitude Valley, Brisbane)","Chinatown, Fortitude Valley",0,
"Teahupoo, Tahiti",Teahupoo,0,"The old simple title Teahupoo avoids redirects. There isn´t a need to sufix with Tahiti because Teahupoo in unique in the context. Also anyone searching for Teahupoo would type Teahupoo or Teahupo'o, hardly ""Teahupoo, Tahiti"""
Peroneus longus muscle,Fibularis longus,0,"Changed to 'fibular' standard; ""muscle"" is not needed and not listed in English column of TA publication."
Stern-Gerlach experiment,Stern–Gerlach experiment,0,en-dash
Colonel George E. Bud Day,George E. Bud Day,0,Colonel not part of name
"Township of Lake of Bays, Ontario","Lake of Bays, Ontario",0,move back to original name
Basque Country,Basque Country autonomous community,0,Basque Country should be a disambig page - this was moved a short time ago without full discussion
Operation Just Reward,2006 Israel-Lebanon conflict,0,NPOV title
San Roque Parish cathedral,San Roque Parish Cathedral,0,correct capitalization
Free Willy,Free Willey,0,
R.K. Baliga,R. K. Baliga,0,
Knox Mine Disaster,Knox Mine disaster,0,cap fix; see [[Category talk:Mining disasters]]
Michael Benton,Michael J. Benton,0,Confusion between two similar links
Tergawar,Targawar,0,
Heather Christensen,Heather Christensen (Model),0,"More specific for searches. In addition, there is another Heather Christensen gaining popularity among readers, in a different profession."
Gary Plummer (basketball),Gary Plummer,0,
Harry Potter and the Power of Love,Harry and the Potters and the Power of Love,0,
Voldemort Can't Stop the Rock,Voldemort Can't Stop the Rock!,0,
Centyry City,Century City (Los Angeles),0,
Islands of the Caribbean,List of Islands in the Caribbean,0,[[Wikipedia:Articles for deletion/Islands of the Caribbean]] - 5 users said it should be moved as it is a list. I have moved [[Islands of the Bahamas]] to a similar title as well.
Fraport AG,Fraport,0,per request at [[WP:RM]]...following naming conventions
Balance Game '84,Balance Game (retired pricing game),0,"Discussion seems to have ended, and it's a good idea, so let's do it."
A Chinese Ghost Story Part II,Ghost of A Lovely Maiden,0,exacter name of the movie
Tarashcha,Tarascha,0,Ukrainian geographic names according to [[WP:NC]]
"Santol, tropical fruit",Santol (fruit),0,much nicer
Matthias N. Forney,Matthias Nace Forney,0,
Transport in Mongolia,Transportation in Mongolia,0,"rv unmotivated, guideline-violating page name change"
Harvest Moon DS,Harvest Moon: Sprite Station,0,"Sprite Station relinks here, and they are the same game"
Hook-up/temp,Hook-up,0,[[Hook-up]] now unprotected and this dab page ready to move in
Leningradsky Rail Terminal,Leningrad Rail Terminal,0,"If Mscow rail terminal, why not Leningrad Rail terminal?"
Angband,Angband (Middle-earth),0,dab
Tom Foley (baseball coach/player),Tom Foley (baseball),0,
W. Graham Claytor Jr.,"W. Graham Claytor, Jr.",0,
Hanmer,Hanmer (disambiguation),0,"Replace for entry on Hanmer, village Wrexham"
William N. Deramus III,William Neal Deramus III,0,
Battle star (comics),Battle Star (comics),0,
Davey O'Brien Award,Davey O'Brien National Quarterback Award,0,"correct name, as per talk page"
"Juneau City and Borough, Alaska","City and Burough of Juneau, Alaska",0,Correct long name
Kantrida Stadium,Stadion na Kantridi,0,Original full name.
Limnanthes vinculans,Sebastopol meadowfoam,0,common name
Basil Fawlty (Fawlty Towers),Basil Fawlty,0,no need for DAB
Mansfield Decision,Somerset's Case,0,
Banu Quraish,Quraish,0,There's nothing called Banu Quraish
Northern Hemisphere,Northern hemisphere,0,proper capitalisation
Lopez,López,0,Moved to correct spelling
Tango TV (lithuania),Tango TV (Lithuania),0,scrptio
Hanging On (song),Hanging On,0,Because of the rules.
Rip Tide (Doctor Who),Rip Tide,0,no Rip Tide article
Andy jenkins,Andy Jenkins,0,caps
Stock Dove,Stock Pigeon,0,The British Ornithologists' Union now calls it the Stock Pigeon.
Greg Flynn - author,Greg Flynn,0,
Thomas Hughes (Australian politician),Thomas Eyre Forrest Hughes,0,
CFNM,"Clothed female, naked male",0,
Ancient India (disambiguation),Ancient India,0,
Ahn Eaktae,Ahn Eak-tai,0,this is the preferred Romanization; see talk
Keith hackney,Keith Hackney,0,naming conventions
Grading in the United States,Academic grading in North America,0,"Covers Canada, but doesn't cover egg grading"
G .P. Sippy,G. P. Sippy,0,I am a failure -- fixing where I put the space
Armenian Canadians,Armenian-Canadian,0,
Hercule (Dragon Ball),Mr.Satan (Dragon Ball),0,"Like ALTTP said, Mr. Satan is his official name, the one Toriyama gave him, Hercule is just his censored name. Even in the uncut dub his name is Mr.Satan."
List of South America cyclones,List of South America tropical cyclones,0,Only lists tropical cyclones
Reefer Madness (1936 film),Reefer Madness,0,
American University of Science and Technology,American University College of Science and Technology,0,AUST's official name change reasons.
Josè Luis da Cruz Vidigal,José Vidigal,0,
The Asian Reporter,The Asian Reporter (newspaper),0,The US newpaper article keeps having links to the UK website added to it. I'll make this a dab page.
List of Czech Jews,List of Czech-speaking Jews,0,Change title to reflect content
Irfan Khan,Irfan Khan (actor),0,
"John Hans Makeléer, Iain Dubh Baronet",John MacLean (Gothenburg),0,revert to good name
J. P. Chandrababu,JP Chandrababu,0,revert
Hercule (Dragon Ball),Mr. Satan (Dragon Ball),0,No explanation given as to why this was moved - please see discussion page.
Tinkers Island,Tinker's Island,0,add apostrophe
Ahousaht,"Ahousaht, British Columbia",0,
Dawn of the Dead,Dawn of the Dead (disambiguation),0,
Pigeon Point Light Station,Pigeon Point Light,0,Official USCG and USFS name
Artie Maddicksfull na,Artie Maddicks,0,G6
My Sex Buddy (Scrubs episode),My Sex Buddy,0,
Umm Khultum binte Abi Bakr,Umm Kulthum binte Abi Bakr,0,
Labay,Labay Middle School,0,
"Institute of management, nirma university","Institute of Management, Nirma University",0,"for god's sake, get the caps right"
Interspinal ligaments,Interspinal ligament,0,move to singular
Earl Tylney of Castlemaine,Earl Tylney,0,titles appears to have been without 'of Castlemaine'
Norwin,Norwin School District,0,To better server the entire district
Cyber Troopers Virtual On,Cyber Troopers Virtual-On,0,
"Cloverdale, Oregon","Cloverdale, Tillamook County, Oregon",0,Also the name of an unincorporated community in Deschutes County.
Carlos Valderrama (football player),Carlos Valderrama (footballer),0,
Banqiao (Banciao) /Nangang Line,Bannan Line (TRTS),0,"""Bannan Line"" is often used by TRTC, and I want to Create [[Banqiao Line (TRTS)]] & [[Nangang Line (TRTS)]]"
"Moore River, Western Australia",Moore River (Western Australia),0,
Gonorynchus,Beaked salmon,0,[[Wikipedia:Naming conventions (fauna)]]
In The Future When All's Well,In the Future When All's Well,0,Correct title
Geoff Barnett,Geoff Barnett (cricketer),0,Move to avoid confusion with [[Geoff Barnett (footballer)]]
Lakewood yeshiva,Beth Medrash Govoha,0,per vote on talk
Wanderer of the Wasteland,Wanderer of the Wasteland (film),0,Wikifilm
Seljuk Turks,Seljuq dynasty,0,
"The One With Two Parts, Part One","The One with Two Parts, Part One",0,
"The One With Two Parts, Part Two","The One with Two Parts, Part Two",0,
Yes,Yes (disambiguation),0,
C. P. Ramanujan,C. P. Ramanujam,0,Spelling error
Independent identically-distributed random variables,Independent and identically-distributed random variables,0,+and in title
Harbour (Haven),Harbour,0,"new title unneeded. this is the main definition in English, and understood. Since there is no disambig page, or need for one, topic shouls stay at normal English title"
Karaïskákis Stadium,Karaiskákis Stadium,0,"I changed this letter <<ï>> to this i  .It is not needed in english to use this ,it's greek"
Bear Lake State Park,Bear Lake State Park (Utah),0,move for dab
Sea Containers,Sea Containers Ltd,0,Sea containers really should go to a disambig page w/ containerization
Color index,Colour index,0,Proper English
Kollywood,Tamil cinema,0,
Sofa King (DANGERDOOM song),Sofa King (song),0,
Images in The No.1 Ladies’ Detective Agency book,Images in The No.1 Ladies' Detective Agency book,0,"simple apostrophe, for consistency with main article"
Candyman (2006),Candyman (Christina Aguilera song),0,
Rainbow Parakeet,Nana-iro Inko,0,"No English release, uses Japanese name"
Triton Motorcycle,Triton motorcycle,0,appropriate naming structure
Right gastroepiploic artery,Right gastro-omental artery,0,updated name
Muslim History,Muslim history,0,"as per manual of style
"
Pornographic cartoon parodies,Pornographic cartoons,0,added still more information that is better suited to previous title
Borshchiv,Borschiv,0,per [[WP:NC]]
Moving average (finance),Moving average (technical analysis),0,fixing copy-n-paste move
Man! I Feel Like a Woman!,Man! I Feel like a Woman!,0,history merging & naming conventions
Help me delete this page,Sentinels (Halo),0,Automated revert of mass page moving.
Kansas city zoo,Kansas City Zoo,0,Full capitalization
Richard Goldberg,Richard Steve Goldberg,0,
Sorud-e Melli-e Iran,Sorud-e Melli-e Jomhoori-e Eslami-e Iran,0,This anthem is the official  Islamic Repoublic of Iran's anthem.
"Rushden, Higham and Wellingborough Railway","Rushden, Higham & Wellingborough Railway",0,Correct title contains Ampersand (&)
Non-nude pornography,Non-nude photography,0,"move to non oxymoronic name that is, according to the article, what the community calls themselves as opposed to the ""critics"" call it.... that and it gets 300x as many ""googles"""
Christian Taylor (porn star),Christian Taylor,0,"no other Christian Taylor has an article, so disambiguation parenthetical is unnecessary"
Soda Stereo/Temp,Soda Stereo,0,[[Wikipedia:Copyright problems/2006 July 17/Articles]]
Golfers with most major championship wins,Golfers with the greatest number of major championship wins,0,The previous title was gramatically incorrect.
Caprica (Battlestar Galactica),Caprica (disambiguation),0,"move to a more standard title
"
Samuel A. DiPiazza Jr,Samuel DiPiazza,0,stdize
Anoia,Anoia (comarca),0,dab
Juan Hohberg,Juan Eduardo Hohberg,0,full name
Canon PowerShot S50/Temp,Canon PowerShot S50,1,[[Wikipedia:Copyright problems/2006 July 20/Articles]]
